9,1,2001-10-16,south Moravia
19,2,2001-03-13,east Bohemia
41,3,1998-09-03,west Bohemia
42,4,2001-11-26,north Moravia
51,5,1998-04-24,north Bohemia
56,7,2001-06-11,south Bohemia
60,8,2001-05-20,north Moravia
76,9,2000-10-25,north Bohemia
77,10,1999-12-07,Prague
79,11,2000-10-25,north Bohemia
83,12,1999-09-11,Prague
87,13,1997-06-29,north Moravia
112,14,1999-02-17,Prague
114,15,1998-03-05,north Moravia
116,16,2001-06-23,north Moravia
127,17,2001-06-07,south Bohemia
128,18,1998-08-25,south Moravia
130,19,2000-09-09,south Moravia
131,20,2001-12-02,south Moravia
132,21,2001-02-26,north Bohemia
138,22,2000-01-11,south Moravia
146,23,2001-10-03,west Bohemia
153,24,1999-08-05,central Bohemia
158,25,2000-12-06,north Bohemia
161,26,2001-09-14,north Bohemia
167,27,2001-11-15,north Bohemia
174,28,2001-01-22,central Bohemia
192,29,2001-08-20,north Moravia
202,30,2000-10-01,west Bohemia
208,31,2001-10-21,central Bohemia
219,32,2001-08-06,south Moravia
221,33,2000-12-03,south Bohemia
225,34,2001-03-20,north Bohemia
231,35,2001-10-07,north Bohemia
236,36,2001-09-28,north Moravia
238,37,1999-04-20,central Bohemia
242,38,1999-08-31,south Bohemia
254,39,2001-07-14,west Bohemia
255,40,1999-10-13,west Bohemia
256,41,2000-08-31,north Moravia
264,42,2001-07-28,west Bohemia
267,43,2000-08-29,north Bohemia
268,44,1999-05-17,north Bohemia
272,45,2000-12-05,north Moravia
273,46,2001-11-10,west Bohemia
280,47,2001-08-13,east Bohemia
295,48,2001-03-10,central Bohemia
305,49,2000-10-03,east Bohemia
309,50,2000-05-28,north Bohemia
321,51,2000-11-21,east Bohemia
326,52,2001-04-10,west Bohemia
333,53,2001-10-13,north Bohemia
334,54,2000-01-24,north Bohemia
335,55,2001-01-25,north Moravia
339,56,2001-11-22,Prague
347,57,1999-11-09,north Moravia
358,58,2001-03-11,central Bohemia
365,59,2000-10-27,Prague
370,60,2001-10-18,north Moravia
374,61,2001-10-18,west Bohemia
378,63,2001-03-27,east Bohemia
402,64,2001-05-10,central Bohemia
414,65,2001-02-02,east Bohemia
425,66,2001-07-08,west Bohemia
429,67,2001-01-28,east Bohemia
434,68,2001-01-31,north Moravia
438,69,2000-05-17,north Bohemia
439,70,1997-02-08,east Bohemia
441,71,2001-04-11,Prague
